lat,lon,pop_density
-37.75,83.75,0.0
-36.75,83.75,0.0
-36.25,83.75,0.0
-35.75,83.75,0.0
-35.25,83.75,0.0
-34.75,83.75,0.0
-34.25,83.75,0.0
-33.75,83.75,0.0
-33.25,83.75,0.0
-32.75,83.75,0.0
-32.25,83.75,0.0
-31.75,83.75,0.0
-31.25,83.75,0.0
-30.75,83.75,0.0
-30.25,83.75,0.0
-29.75,83.75,0.0
-29.25,83.75,0.0
-28.75,83.75,0.0
-77.75,83.25,0.0
-77.25,83.25,2.1742384e-05
-76.75,83.25,2.1927544e-05
-76.25,83.25,2.1912645e-05
-75.75,83.25,2.1817123e-05
-75.25,83.25,2.0933756e-05
-74.75,83.25,2.1525191e-05
-74.25,83.25,2.1323192e-05
-73.75,83.25,1.9185038e-05
-73.25,83.25,2.111704e-05
-72.75,83.25,2.1893738e-05
-72.25,83.25,2.2030243e-05
-71.75,83.25,2.1781323e-05
-71.25,83.25,2.1903723e-05
-70.75,83.25,2.1987302e-05
-70.25,83.25,2.1967127e-05
-69.75,83.25,2.2063572e-05
-69.25,83.25,2.143887e-05
-68.75,83.25,2.060042e-05
-68.25,83.25,2.0409303e-05
-46.75,83.25,0.0
-46.25,83.25,0.0
-45.75,83.25,0.0
-45.25,83.25,0.0
-44.75,83.25,0.0
-44.25,83.25,0.0
-43.75,83.25,0.0
-43.25,83.25,0.0
-42.75,83.25,0.0
-42.25,83.25,0.0
-41.75,83.25,0.0
-41.25,83.25,0.0
-40.75,83.25,0.0
-40.25,83.25,0.0
-39.75,83.25,0.0
-39.25,83.25,0.0
-38.75,83.25,0.0
-38.25,83.25,0.0
-37.75,83.25,0.0
-37.25,83.25,0.0
-36.75,83.25,0.0
-36.25,83.25,0.0
-35.75,83.25,0.0
-35.25,83.25,0.0
-34.75,83.25,0.0
-34.25,83.25,0.0
-33.75,83.25,0.0
-33.25,83.25,0.0
-32.75,83.25,0.0
-32.25,83.25,0.0
-31.75,83.25,0.0
-31.25,83.25,0.0
-30.75,83.25,0.0
-30.25,83.25,0.0
-29.75,83.25,0.0
-29.25,83.25,0.0
-28.75,83.25,0.0
-28.25,83.25,0.0
-27.75,83.25,0.0
-27.25,83.25,0.0
-26.75,83.25,0.0
-26.25,83.25,0.0
-25.75,83.25,0.0
-25.25,83.25,0.0
-24.75,83.25,0.0
-82.25,82.75,2.1578484e-05
-81.75,82.75,2.1980188e-05
-81.25,82.75,2.1952512e-05
-80.75,82.75,2.1996913e-05
-80.25,82.75,2.206515e-05
-79.75,82.75,2.1978767e-05
-79.25,82.75,2.2006076e-05
-78.75,82.75,2.2086973e-05
-78.25,82.75,2.205743e-05
-77.75,82.75,2.217046e-05
-77.25,82.75,2.2147924e-05
-76.75,82.75,2.2130429e-05
-76.25,82.75,2.2092576e-05
-75.75,82.75,2.208106e-05
-75.25,82.75,2.219894e-05
-74.75,82.75,2.2213655e-05
-74.25,82.75,2.2224165e-05
-73.75,82.75,2.202018e-05
-73.25,82.75,2.214831e-05
-72.75,82.75,2.2127566e-05
-72.25,82.75,2.2228602e-05
-71.75,82.75,2.2224196e-05
-71.25,82.75,2.2136437e-05
-70.75,82.75,2.218652e-05
-70.25,82.75,2.2206505e-05
-69.75,82.75,2.221116e-05
-69.25,82.75,2.2215076e-05
-68.75,82.75,2.2118316e-05
-68.25,82.75,2.2097447e-05
-67.75,82.75,2.202811e-05
-67.25,82.75,2.2050648e-05
-66.75,82.75,2.2058415e-05
-66.25,82.75,2.212033e-05
-65.75,82.75,2.2205291e-05
-65.25,82.75,2.206845e-05
-64.75,82.75,2.2093556e-05
-64.25,82.75,2.2126042e-05
-63.75,82.75,2.2033919e-05
-63.25,82.75,2.1912278e-05
-62.75,82.75,6.903056e-06
-62.25,82.75,0.0
-51.25,82.75,0.0
-50.75,82.75,0.0
-50.25,82.75,0.0
-49.75,82.75,0.0
-48.75,82.75,0.0
-48.25,82.75,0.0
-47.75,82.75,0.0
-47.25,82.75,0.0
-46.75,82.75,0.0
-46.25,82.75,0.0
-45.75,82.75,0.0
-45.25,82.75,0.0
-44.75,82.75,0.0
-44.25,82.75,0.0
-43.75,82.75,0.0
-43.25,82.75,0.0
-42.75,82.75,0.0
-42.25,82.75,0.0
-41.75,82.75,0.0
-41.25,82.75,0.0
-40.75,82.75,0.0
-40.25,82.75,0.0
-39.75,82.75,0.0
-39.25,82.75,0.0
-38.75,82.75,0.0
-38.25,82.75,0.0
-37.75,82.75,0.0
-37.25,82.75,0.0
-36.75,82.75,0.0
-36.25,82.75,0.0
-35.75,82.75,0.0
-35.25,82.75,0.0
-34.75,82.75,0.0
-34.25,82.75,0.0
-33.75,82.75,0.0
-33.25,82.75,0.0
-32.75,82.75,0.0
-32.25,82.75,0.0
-31.75,82.75,0.0
-31.25,82.75,0.0
-30.75,82.75,0.0
-30.25,82.75,0.0
-29.75,82.75,0.0
-29.25,82.75,0.0
-28.75,82.75,0.0
-28.25,82.75,0.0
-27.75,82.75,0.0
-27.25,82.75,0.0
-26.75,82.75,0.0
-26.25,82.75,0.0
-25.75,82.75,0.0
-25.25,82.75,0.0
-24.75,82.75,0.0
-24.25,82.75,0.0
-23.75,82.75,0.0
-23.25,82.75,0.0
-22.75,82.75,0.0
-22.25,82.75,0.0
-21.75,82.75,0.0
-21.25,82.75,0.0
-88.75,82.25,2.1843889e-05
-88.25,82.25,2.1967797e-05
-87.75,82.25,2.1958407e-05
-87.25,82.25,2.2006365e-05
-86.75,82.25,2.1764406e-05
-86.25,82.25,2.1991917e-05
-85.75,82.25,2.188968e-05
-85.25,82.25,2.2081595e-05
-84.75,82.25,2.210698e-05
-84.25,82.25,2.2199136e-05
-83.75,82.25,2.2185961e-05
-83.25,82.25,2.2139375e-05
-82.75,82.25,2.1978638e-05
