,geometry,pop_density
127902,POINT (1.25 51.25),-3.4e+38
127904,POINT (1.25 52.25),-3.4e+38
127905,POINT (1.25 52.75),-3.4e+38
128622,POINT (0.75 51.25),-3.4e+38
128623,POINT (0.75 51.75),-3.4e+38
128624,POINT (0.75 52.25),-3.4e+38
128625,POINT (0.75 52.75),-3.4e+38
129341,POINT (0.25 50.75),-3.4e+38
129342,POINT (0.25 51.25),-3.4e+38
129343,POINT (0.25 51.75),-3.4e+38
129344,POINT (0.25 52.25),-3.4e+38
129345,POINT (0.25 52.75),-3.4e+38
129346,POINT (0.25 53.25),-3.4e+38
130062,POINT (-0.25 51.25),-3.4e+38
130063,POINT (-0.25 51.75),-3.4e+38
130064,POINT (-0.25 52.25),-3.4e+38
130065,POINT (-0.25 52.75),-3.4e+38
130066,POINT (-0.25 53.25),-3.4e+38
130067,POINT (-0.25 53.75),-3.4e+38
130782,POINT (-0.75 51.25),-3.4e+38
130783,POINT (-0.75 51.75),-3.4e+38
130784,POINT (-0.75 52.25),-3.4e+38
130785,POINT (-0.75 52.75),-3.4e+38
130786,POINT (-0.75 53.25),-3.4e+38
130787,POINT (-0.75 53.75),-3.4e+38
130788,POINT (-0.75 54.25),-3.4e+38
131501,POINT (-1.25 50.75),-3.4e+38
131502,POINT (-1.25 51.25),-3.4e+38
131503,POINT (-1.25 51.75),-3.4e+38
131504,POINT (-1.25 52.25),-3.4e+38
131505,POINT (-1.25 52.75),-3.4e+38
131506,POINT (-1.25 53.25),-3.4e+38
131507,POINT (-1.25 53.75),-3.4e+38
131508,POINT (-1.25 54.25),-3.4e+38
131520,POINT (-1.25 60.25),-3.4e+38
132221,POINT (-1.75 50.75),-3.4e+38
132222,POINT (-1.75 51.25),-3.4e+38
132223,POINT (-1.75 51.75),-3.4e+38
132224,POINT (-1.75 52.25),-3.4e+38
132225,POINT (-1.75 52.75),-3.4e+38
132226,POINT (-1.75 53.25),-3.4e+38
132227,POINT (-1.75 53.75),-3.4e+38
132228,POINT (-1.75 54.25),-3.4e+38
132229,POINT (-1.75 54.75),-3.4e+38
132230,POINT (-1.75 55.25),-3.4e+38
132941,POINT (-2.25 50.75),-3.4e+38
132942,POINT (-2.25 51.25),-3.4e+38
132943,POINT (-2.25 51.75),-3.4e+38
132944,POINT (-2.25 52.25),-3.4e+38
132945,POINT (-2.25 52.75),-3.4e+38
132946,POINT (-2.25 53.25),-3.4e+38
132947,POINT (-2.25 53.75),-3.4e+38
132948,POINT (-2.25 54.25),-3.4e+38
132949,POINT (-2.25 54.75),-3.4e+38
132950,POINT (-2.25 55.25),-3.4e+38
132951,POINT (-2.25 55.75),-3.4e+38
132954,POINT (-2.25 57.25),-3.4e+38
133661,POINT (-2.75 50.75),-3.4e+38
133662,POINT (-2.75 51.25),-3.4e+38
133663,POINT (-2.75 51.75),-3.4e+38
133664,POINT (-2.75 52.25),-3.4e+38
133665,POINT (-2.75 52.75),-3.4e+38
133666,POINT (-2.75 53.25),-3.4e+38
133667,POINT (-2.75 53.75),-3.4e+38
133668,POINT (-2.75 54.25),-3.4e+38
133669,POINT (-2.75 54.75),-3.4e+38
133670,POINT (-2.75 55.25),-3.4e+38
133671,POINT (-2.75 55.75),-3.4e+38
133672,POINT (-2.75 56.25),-3.4e+38
133673,POINT (-2.75 56.75),-3.4e+38
