,geometry,avg_temp,avg_min_month,avg_max_month
0,POINT (-179.5 -89.5),-48.47547403971354,-59.104248,-27.165876
1,POINT (-179.5 -88.5),-49.178863525390625,-59.526585,-29.381388
2,POINT (-179.5 -87.5),-47.05609130859375,-57.250343,-28.598877
3,POINT (-179.5 -86.5),-43.71777852376302,-53.913155,-26.282127
4,POINT (-179.5 -85.5),-39.687731424967446,-50.039585,-22.917107
5,POINT (-179.5 -84.5),-27.033772786458332,-37.736164,-10.457051
6,POINT (-179.5 -83.5),-24.366541544596355,-35.78962,-7.0080743
7,POINT (-179.5 -82.5),-26.25879669189453,-38.50865,-7.9099493
8,POINT (-179.5 -81.5),-27.6658935546875,-40.60029,-8.666945
9,POINT (-179.5 -80.5),-28.35144297281901,-41.64085,-9.17158
10,POINT (-179.5 -79.5),-28.050186157226562,-41.292103,-9.421317
11,POINT (-179.5 -78.5),-26.58434295654297,-40.19186,-7.691704
155,POINT (-179.5 65.5),-6.765389760335286,-20.817528,8.989304
156,POINT (-179.5 66.5),-9.958067576090494,-25.53949,8.774673
157,POINT (-179.5 67.5),-11.648731231689453,-27.99279,8.210838
158,POINT (-179.5 68.5),-12.02712631225586,-28.295202,6.8164883
160,POINT (-179.5 70.5),-11.596659342447916,-25.963057,1.3567457
161,POINT (-179.5 71.5),-12.218039194742838,-26.999443,2.963782
180,POINT (-178.5 -89.5),-48.45079040527344,-59.074467,-27.152037
181,POINT (-178.5 -88.5),-49.15999857584635,-59.486538,-29.419691
182,POINT (-178.5 -87.5),-46.97232564290365,-57.125843,-28.635843
183,POINT (-178.5 -86.5),-43.60327657063802,-53.74126,-26.350828
184,POINT (-178.5 -85.5),-38.256317138671875,-48.529785,-21.772985
185,POINT (-178.5 -84.5),-26.627298990885418,-37.253273,-10.366918
186,POINT (-178.5 -83.5),-24.4022954305013,-35.790688,-7.2590346
187,POINT (-178.5 -82.5),-26.386263529459637,-38.650352,-8.136241
188,POINT (-178.5 -81.5),-27.749923706054688,-40.717182,-8.781587
189,POINT (-178.5 -80.5),-28.426778157552082,-41.776993,-9.283786
190,POINT (-178.5 -79.5),-28.12511952718099,-41.444336,-9.5574255
191,POINT (-178.5 -78.5),-26.612271626790363,-40.43628,-7.5443144
335,POINT (-178.5 65.5),-6.51370112101237,-20.01525,7.8410087
336,POINT (-178.5 66.5),-9.787457148234049,-25.352095,8.697651
337,POINT (-178.5 67.5),-10.80990982055664,-27.131395,8.799557
338,POINT (-178.5 68.5),-10.357219696044922,-26.021627,6.755642
341,POINT (-178.5 71.5),-11.960212707519531,-26.629057,2.8215964
360,POINT (-177.5 -89.5),-48.42610168457031,-59.041996,-27.150127
361,POINT (-177.5 -88.5),-49.14007568359375,-59.44083,-29.47707
362,POINT (-177.5 -87.5),-46.85377502441406,-56.96792,-28.630959
363,POINT (-177.5 -86.5),-43.4460194905599,-53.528862,-26.36467
364,POINT (-177.5 -85.5),-35.48986562093099,-45.70223,-19.214191
365,POINT (-177.5 -84.5),-25.88079325358073,-36.44751,-9.852616
366,POINT (-177.5 -83.5),-24.432693481445312,-35.80394,-7.4154577
367,POINT (-177.5 -82.5),-26.504419962565105,-38.802227,-8.249756
368,POINT (-177.5 -81.5),-27.819910685221355,-40.824333,-8.852464
369,POINT (-177.5 -80.5),-28.482706705729168,-41.89201,-9.360186
370,POINT (-177.5 -79.5),-28.204063415527344,-41.60902,-9.661428
371,POINT (-177.5 -78.5),-26.614919026692707,-40.64464,-7.3729167
501,POINT (-177.5 51.5),4.554307301839192,0.43842542,10.201867
515,POINT (-177.5 65.5),-6.918985366821289,-20.477743,7.499643
516,POINT (-177.5 66.5),-10.20161247253418,-25.904182,8.336194
517,POINT (-177.5 67.5),-10.065429051717123,-26.44351,9.321462
518,POINT (-177.5 68.5),-9.88578987121582,-24.995007,5.3852534
521,POINT (-177.5 71.5),-11.59759521484375,-25.865938,1.8940767
540,POINT (-176.5 -89.5),-48.40071105957031,-59.00631,-27.158648
541,POINT (-176.5 -88.5),-49.118611653645836,-59.396645,-29.51878
542,POINT (-176.5 -87.5),-46.69761657714844,-56.776657,-28.568481
543,POINT (-176.5 -86.5),-43.26104227701823,-53.299316,-26.301792
544,POINT (-176.5 -85.5),-34.837964375813804,-45.004673,-18.698217
545,POINT (-176.5 -84.5),-24.018585205078125,-34.542343,-8.137415
546,POINT (-176.5 -83.5),-24.45496114095052,-35.825127,-7.4761386
547,POINT (-176.5 -82.5),-26.61138407389323,-38.954266,-8.281453
548,POINT (-176.5 -81.5),-27.86619822184245,-40.91344,-8.852672
549,POINT (-176.5 -80.5),-28.51892598470052,-41.98704,-9.3938055
550,POINT (-176.5 -79.5),-28.249722798665363,-41.7287,-9.726778
551,POINT (-176.5 -78.5),-26.59502410888672,-40.791878,-7.2309723
586,POINT (-176.5 -43.5),11.892383575439453,8.111686,15.768669
681,POINT (-176.5 51.5),4.416379610697429,0.2794991,10.19195
695,POINT (-176.5 65.5),-7.041923522949219,-20.880272,7.8805146
696,POINT (-176.5 66.5),-9.833059946695963,-25.613333,8.416283
697,POINT (-176.5 67.5),-9.67703119913737,-26.012201,9.02806
720,POINT (-175.5 -89.5),-48.37439982096354,-58.97267,-27.153015
721,POINT (-175.5 -88.5),-49.09818013509115,-59.35738,-29.544163
722,POINT (-175.5 -87.5),-46.47656758626302,-56.526295,-28.414358
723,POINT (-175.5 -86.5),-43.047953287760414,-53.05205,-26.16217
724,POINT (-175.5 -85.5),-35.6936289469401,-45.829063,-19.622606
725,POINT (-175.5 -84.5),-24.691640218098957,-35.186287,-8.891429
726,POINT (-175.5 -83.5),-24.46857198079427,-35.853016,-7.442319
727,POINT (-175.5 -82.5),-26.686228434244793,-39.07451,-8.218208
728,POINT (-175.5 -81.5),-27.899770100911457,-40.9961,-8.803895
729,POINT (-175.5 -80.5),-28.531956990559895,-42.053635,-9.39708
730,POINT (-175.5 -79.5),-28.27637227376302,-41.799488,-9.870567
731,POINT (-175.5 -78.5),-26.55243428548177,-40.810005,-7.327413
874,POINT (-175.5 64.5),-5.1671708424886065,-17.355604,6.9191823
875,POINT (-175.5 65.5),-7.680196126302083,-22.041512,8.390775
876,POINT (-175.5 66.5),-9.519290924072266,-25.231462,7.8591733
877,POINT (-175.5 67.5),-9.747079849243164,-25.68398,7.090218
900,POINT (-174.5 -89.5),-48.34766642252604,-58.942547,-27.129488
901,POINT (-174.5 -88.5),-49.07585144042969,-59.32122,-29.545225
902,POINT (-174.5 -87.5),-46.24649556477865,-56.27179,-28.228544
903,POINT (-174.5 -86.5),-42.73738098144531,-52.7165,-25.882301
904,POINT (-174.5 -85.5),-38.648885091145836,-48.76754,-22.578728
905,POINT (-174.5 -84.5),-25.439483642578125,-35.921467,-9.637704
906,POINT (-174.5 -83.5),-24.47169240315755,-35.882286,-7.324339
907,POINT (-174.5 -82.5),-26.75072987874349,-39.19091,-8.123144
908,POINT (-174.5 -81.5),-27.905537923177082,-40.982975,-8.953653
909,POINT (-174.5 -80.5),-28.521324157714844,-41.993282,-9.735057
910,POINT (-174.5 -79.5),-28.213211059570312,-41.68148,-10.21112
911,POINT (-174.5 -78.5),-26.48725128173828,-40.732014,-7.550614
1042,POINT (-174.5 52.5),4.25248368581136,0.1853244,10.15057
1054,POINT (-174.5 64.5),-5.231248219807942,-17.95567,7.6079235
1055,POINT (-174.5 65.5),-7.91307004292806,-22.679026,8.954577
1056,POINT (-174.5 66.5),-8.997393290201822,-24.70919,7.572423
1057,POINT (-174.5 67.5),-9.64003817240397,-25.145653,5.2376347
1080,POINT (-173.5 -89.5),-48.32209777832031,-58.91669,-27.093401
1081,POINT (-173.5 -88.5),-49.05233256022135,-59.287956,-29.526684
1082,POINT (-173.5 -87.5),-46.05333964029948,-56.059505,-28.055079
1083,POINT (-173.5 -86.5),-42.365308125813804,-52.322067,-25.52722
1084,POINT (-173.5 -85.5),-39.852404276529946,-49.963146,-23.740086
1085,POINT (-173.5 -84.5),-25.15807851155599,-35.64467,-9.269291
1086,POINT (-173.5 -83.5),-24.464495340983074,-35.93188,-7.0378585
1087,POINT (-173.5 -82.5),-26.768636067708332,-39.155365,-8.364948
1088,POINT (-173.5 -81.5),-27.88402557373047,-40.87398,-9.30274
1089,POINT (-173.5 -80.5),-28.486971537272137,-41.904137,-10.038171
1090,POINT (-173.5 -79.5),-28.14044698079427,-41.5596,-10.500939
1091,POINT (-173.5 -78.5),-26.400362650553387,-40.62538,-7.7329054
1234,POINT (-173.5 64.5),-6.202656428019206,-19.306713,7.3112307
1235,POINT (-173.5 65.5),-7.564877192179362,-22.430435,9.168653
1236,POINT (-173.5 66.5),-9.21247927347819,-25.17611,7.5982976
1237,POINT (-173.5 67.5),-9.668987274169922,-24.970041,4.073535
1260,POINT (-172.5 -89.5),-48.29801940917969,-58.889893,-27.069565
1261,POINT (-172.5 -88.5),-49.028279622395836,-59.257862,-29.491005
1262,POINT (-172.5 -87.5),-45.87451171875,-55.867847,-27.866957
1263,POINT (-172.5 -86.5),-41.859031677246094,-51.800724,-25.00275
1264,POINT (-172.5 -85.5),-41.64102427164713,-51.74756,-25.466448
1265,POINT (-172.5 -84.5),-24.296335856119793,-34.788586,-8.308373
1266,POINT (-172.5 -83.5),-24.44690195719401,-35.809677,-7.4311743
1267,POINT (-172.5 -82.5),-26.730562845865887,-38.98857,-8.770963
1268,POINT (-172.5 -81.5),-27.831375122070312,-40.722054,-9.629534
1269,POINT (-172.5 -80.5),-28.429339090983074,-41.785152,-10.31192
1270,POINT (-172.5 -79.5),-28.046035766601562,-41.420135,-10.726315
1271,POINT (-172.5 -78.5),-26.291636149088543,-40.497902,-7.849171
1336,POINT (-172.5 -13.5),25.998214721679688,25.375652,26.35867
1410,POINT (-172.5 60.5),-1.6983310381571453,-11.334727,8.017575
1414,POINT (-172.5 64.5),-5.025483131408691,-17.979206,7.583797
1415,POINT (-172.5 65.5),-6.940677007039388,-21.659264,8.965303
1416,POINT (-172.5 66.5),-9.814376831054688,-26.222027,8.104109
1440,POINT (-171.5 -89.5),-48.27526346842448,-58.862785,-27.05433
1441,POINT (-171.5 -88.5),-49.00580851236979,-59.224617,-29.477709
1442,POINT (-171.5 -87.5),-45.678009033203125,-55.658463,-27.660429
1443,POINT (-171.5 -86.5),-41.07212575276693,-51.00279,-24.177303
1444,POINT (-171.5 -85.5),-42.779093424479164,-52.887814,-26.509811
1445,POINT (-171.5 -84.5),-23.543965657552082,-33.97778,-7.741527
1446,POINT (-171.5 -83.5),-24.420270284016926,-35.659756,-7.874712
1447,POINT (-171.5 -82.5),-26.65215301513672,-38.79362,-9.059451
1448,POINT (-171.5 -81.5),-27.754669189453125,-40.558907,-9.854852
1449,POINT (-171.5 -80.5),-28.348721822102863,-41.65299,-10.491259
1450,POINT (-171.5 -79.5),-27.97350819905599,-41.322735,-10.899117
1451,POINT (-171.5 -78.5),-26.162460327148438,-40.35892,-7.885818
1516,POINT (-171.5 -13.5),26.4189936319987,25.814241,26.815344
1593,POINT (-171.5 63.5),-4.195245107014974,-16.757435,7.785115
1595,POINT (-171.5 65.5),-6.710832595825195,-21.025522,7.7485933
1596,POINT (-171.5 66.5),-9.214014689127604,-25.323761,7.6014605
1620,POINT (-170.5 -89.5),-48.25444539388021,-58.83824,-27.038263
1621,POINT (-170.5 -88.5),-48.98377990722656,-59.189133,-29.476624
1622,POINT (-170.5 -87.5),-45.44602966308594,-55.40275,-27.465626
1623,POINT (-170.5 -86.5),-40.204854329427086,-50.105263,-23.353971
1624,POINT (-170.5 -85.5),-39.3093007405599,-49.378826,-23.144451
1625,POINT (-170.5 -84.5),-23.46522267659505,-33.78792,-8.085829
1626,POINT (-170.5 -83.5),-24.387306213378906,-35.508747,-8.235615
1627,POINT (-170.5 -82.5),-26.556248982747395,-38.58311,-9.302857
1628,POINT (-170.5 -81.5),-27.65606943766276,-40.377018,-10.01713
1629,POINT (-170.5 -80.5),-28.24480438232422,-41.50418,-10.585853
1630,POINT (-170.5 -79.5),-27.889119466145832,-41.233543,-10.965923
1631,POINT (-170.5 -78.5),-26.01055653889974,-40.20934,-7.8232694
1773,POINT (-170.5 63.5),-4.1249574025472,-16.997557,8.320148
1775,POINT (-170.5 65.5),-5.826988220214844,-19.734419,7.376817
1776,POINT (-170.5 66.5),-8.2119140625,-23.887049,7.005677
1800,POINT (-169.5 -89.5),-48.2346445719401,-58.814373,-27.0247
1801,POINT (-169.5 -88.5),-48.9610341389974,-59.153175,-29.47357
1802,POINT (-169.5 -87.5),-45.230977376302086,-55.16426,-27.28544
1803,POINT (-169.5 -86.5),-39.36573282877604,-49.235455,-22.557924
1804,POINT (-169.5 -85.5),-36.650291442871094,-46.634487,-20.771273
1805,POINT (-169.5 -84.5),-23.093409220377605,-33.329903,-8.021642
1806,POINT (-169.5 -83.5),-24.34930419921875,-35.373802,-8.463998
1807,POINT (-169.5 -82.5),-26.434588114420574,-38.35564,-9.452741
1808,POINT (-169.5 -81.5),-27.535888671875,-40.18324,-10.092519
1809,POINT (-169.5 -80.5),-28.117332458496094,-41.339306,-10.588749
1810,POINT (-169.5 -79.5),-27.791598002115887,-41.145966,-10.9330015
